[9],['sigmoid'],16,117,Adam,MaxAbsoluteDeviation,5.0956292152404785,4.629912853240967,0.7005489999428391
"[23, 8, 19]","['sigmoid', 'swish', 'elu']",f608b0,700,Adam,MaxAbsoluteDeviation,0.293683260679245,0.22819313406944275,4.186263099894859
"[23, 23, 19]","['sigmoid', 'swish', 'elu']",f6f8b0,700,Adam,MaxAbsoluteDeviation,0.2643795311450958,0.11578025668859482,4.255964300013147
"[23, 9, 19]","['sigmoid', 'swish', 'elu']",f618b0,700,Adam,MaxAbsoluteDeviation,0.14297299087047577,0.16934834420681,4.150872299913317
"[23, 23, 19]","['swish', 'swish', 'elu']",f8f8b0,700,Adam,MaxAbsoluteDeviation,0.12037765234708786,0.13588042557239532,4.234341099974699
"[23, 23, 19]","['swish', 'swish', 'tanh']",f8f8b9,700,Adam,MaxAbsoluteDeviation,0.12291984260082245,0.16640539467334747,4.283448399975896
"[23, 23, 19]","['swish', 'swish', 'tanh']",f8f8b9,700,Adam,MaxAbsoluteDeviation,0.12291984260082245,0.14408086240291595,4.135762399993837
"[23, 23, 19]","['elu', 'swish', 'tanh']",f0f8b9,700,Adam,MaxAbsoluteDeviation,0.21686147153377533,0.1983875334262848,4.158440400031395
"[23, 23, 19]","['elu', 'tanh', 'tanh']",f0f9b9,700,Adam,MaxAbsoluteDeviation,0.2093021273612976,0.21271774172782898,4.1102072999347
"[23, 23, 19]","['elu', 'tanh', 'tanh']",f0f9b9,700,Adam,MaxAbsoluteDeviation,0.3377034068107605,0.2915813624858856,4.105915599968284
"[23, 23, 19]","['elu', 'tanh', 'tanh']",f0f9b9,700,Adam,MaxAbsoluteDeviation,0.3377034068107605,0.4468288719654083,4.111692600068636
"[23, 23]","['elu', 'tanh']",f0f9,700,Adam,MaxAbsoluteDeviation,0.11729099601507187,0.1121542900800705,3.5017585000023246
"[23, 12]","['elu', 'swish']",f048,700,Adam,MaxAbsoluteDeviation,0.25075075030326843,0.06968040764331818,3.526310299988836
"[23, 12]","['elu', 'swish']",f048,438,Adam,MaxAbsoluteDeviation,0.17213483154773712,0.07613293826580048,2.31903939996846
"[8, 12]","['elu', 'swish']",0048,438,Adam,MaxAbsoluteDeviation,0.07989552617073059,0.09938925504684448,2.3149900999851525
