"[23, 19, 20, 17]","['swish', 'elu', 'swish', 'swish']",f8b0c898,616,Adam,MaxAbsoluteDeviation,0.15415404736995697,0.2947196960449219,2.494548900052905
"[23, 19, 20, 17, 23]","['swish', 'elu', 'swish', 'swish', 'sigmoid']",f8b0c898f6,616,Adam,MaxAbsoluteDeviation,0.6145468354225159,0.5807280540466309,2.6853419999824837
"[23, 19, 20, 17]","['swish', 'elu', 'swish', 'swish']",f8b0c898,616,Adam,MaxAbsoluteDeviation,0.5385973453521729,0.4595146179199219,2.5078741000033915
"[23, 19, 20, 17, 16]","['swish', 'elu', 'swish', 'swish', 'sigmoid']",f8b0c89886,616,Adam,MaxAbsoluteDeviation,0.5385973453521729,0.566291332244873,2.6793140000663698
"[23, 19, 20, 17]","['swish', 'elu', 'swish', 'swish']",f8b0c898,616,Adam,MaxAbsoluteDeviation,0.8086835741996765,0.9400596618652344,2.47148039995227
"[23, 19, 20, 8]","['swish', 'elu', 'swish', 'swish']",f8b0c808,700,Adam,MaxAbsoluteDeviation,0.3155466318130493,0.591552734375,2.792499399976805
"[23, 19, 20, 8]","['swish', 'elu', 'swish', 'swish']",f8b0c808,100,Adam,MaxAbsoluteDeviation,0.8802273273468018,1.0059814453125,0.80316839995794
"[23, 19, 20, 8]","['tanh', 'elu', 'swish', 'swish']",f9b0c808,100,Adam,MaxAbsoluteDeviation,0.4288172125816345,0.6813735961914062,0.7811899000080302
"[23, 19, 20, 23]","['tanh', 'elu', 'swish', 'swish']",f9b0c8f8,100,Adam,MaxAbsoluteDeviation,0.4805017113685608,0.7249001860618591,0.781048999982886
"[23, 19, 23, 23]","['tanh', 'elu', 'swish', 'swish']",f9b0f8f8,100,Adam,MaxAbsoluteDeviation,0.6280206441879272,0.27416324615478516,0.7903957000235096
"[23, 19, 23, 23]","['tanh', 'elu', 'swish', 'swish']",f9b0f8f8,100,Adam,MaxAbsoluteDeviation,1.1116061210632324,2.5202856063842773,0.7880136000458151
"[23, 19, 23, 23]","['tanh', 'elu', 'swish', 'swish']",f9b0f8f8,700,Adam,MaxAbsoluteDeviation,0.9231358170509338,0.19787263870239258,2.743204800062813
"[23, 19, 23, 8]","['tanh', 'elu', 'swish', 'swish']",f9b0f808,700,Adam,MaxAbsoluteDeviation,0.4375002980232239,0.7788619995117188,2.715144900023006
"[23, 19, 23, 8]","['tanh', 'elu', 'swish', 'swish']",f9b0f808,700,Adam,MaxAbsoluteDeviation,0.31995803117752075,0.33841514587402344,2.6967546999221668
"[23, 19, 23, 8, 8]","['tanh', 'elu', 'swish', 'swish', 'swish']",f9b0f80808,700,Adam,MaxAbsoluteDeviation,0.31995803117752075,0.8937549591064453,2.888249200070277
"[23, 19, 23, 8]","['tanh', 'elu', 'swish', 'swish']",f9b0f808,700,Adam,MaxAbsoluteDeviation,0.31995803117752075,0.3412446975708008,2.693053099908866
"[23, 19, 23, 8]","['tanh', 'swish', 'swish', 'swish']",f9b8f808,700,Adam,MaxAbsoluteDeviation,0.3108225166797638,0.17584609985351562,2.6831799999345094
"[23, 19, 23, 8, 23]","['tanh', 'swish', 'swish', 'swish', 'sigmoid']",f9b8f808f6,700,Adam,MaxAbsoluteDeviation,0.18631546199321747,0.3401975631713867,2.841579300002195
"[23, 19, 23, 8, 23]","['tanh', 'swish', 'swish', 'swish', 'sigmoid']",f9b8f808f6,700,Adam,MaxAbsoluteDeviation,0.18631546199321747,0.24701617658138275,2.828393900068477
"[23, 19, 23, 8, 23]","['tanh', 'swish', 'swish', 'swish', 'sigmoid']",f9b8f808f6,700,Adam,MaxAbsoluteDeviation,0.515149712562561,0.48377537727355957,2.8380306999897584
"[23, 23, 23, 8, 23]","['tanh', 'swish', 'swish', 'swish', 'sigmoid']",f9f8f808f6,700,Adam,MaxAbsoluteDeviation,0.31211280822753906,0.3986320495605469,2.8232484998879954
"[23, 23, 23, 8, 23]","['tanh', 'tanh', 'swish', 'swish', 'sigmoid']",f9f9f808f6,700,Adam,MaxAbsoluteDeviation,0.5063684582710266,0.5497426986694336,2.758110300055705
"[23, 23, 23, 8, 23]","['tanh', 'sigmoid', 'swish', 'swish', 'sigmoid']",f9f6f808f6,700,Adam,MaxAbsoluteDeviation,0.4050462245941162,0.7665691375732422,2.752975899958983
"[23, 23, 23, 8]","['tanh', 'sigmoid', 'swish', 'swish']",f9f6f808,700,Adam,MaxAbsoluteDeviation,0.25335830450057983,0.191619873046875,2.6294532000320032
"[23, 23, 23, 8]","['tanh', 'sigmoid', 'swish', 'swish']",f9f6f808,165,Adam,MaxAbsoluteDeviation,0.5398054718971252,0.6368274688720703,0.9557576000224799
"[23, 23, 23, 8]","['tanh', 'sigmoid', 'swish', 'swish']",f9f6f808,165,Adam,MaxAbsoluteDeviation,0.5302081108093262,0.8794174194335938,0.947197400033474
"[23, 23, 23, 8]","['tanh', 'sigmoid', 'swish', 'swish']",f9f6f808,700,Adam,MaxAbsoluteDeviation,0.45117977261543274,0.7109603881835938,2.631149699911475
"[23, 23, 23, 8]","['tanh', 'sigmoid', 'swish', 'swish']",f9f6f808,100,Adam,MaxAbsoluteDeviation,0.7526847720146179,0.5194046497344971,0.7713251999812201
"[23, 23, 23, 8]","['tanh', 'sigmoid', 'swish', 'swish']",f9f6f808,100,Adam,MaxAbsoluteDeviation,0.7878367900848389,1.5105218887329102,0.7687117999885231
"[23, 23, 23, 8]","['tanh', 'sigmoid', 'swish', 'swish']",f9f6f808,100,Adam,MaxAbsoluteDeviation,0.7878367900848389,0.9096603393554688,0.7623463999480009
"[23, 23, 23, 8]","['sigmoid', 'sigmoid', 'swish', 'swish']",f6f6f808,100,Adam,MaxAbsoluteDeviation,1.2727737426757812,0.5599449276924133,0.7586078000022098
"[23, 23, 23]","['sigmoid', 'sigmoid', 'swish']",f6f6f8,100,Adam,MaxAbsoluteDeviation,1.2727737426757812,3.589653968811035,0.6659567999886349
"[23, 23, 23, 8]","['sigmoid', 'sigmoid', 'swish', 'swish']",f6f6f808,100,Adam,MaxAbsoluteDeviation,1.7496213912963867,1.4063241481781006,0.7568725999444723
"[23, 23, 23]","['sigmoid', 'sigmoid', 'swish']",f6f6f8,100,Adam,MaxAbsoluteDeviation,2.144193410873413,1.780949592590332,0.6657661000499502
"[23, 23, 23, 22]","['sigmoid', 'sigmoid', 'swish', 'sigmoid']",f6f6f8e6,100,Adam,MaxAbsoluteDeviation,2.144193410873413,3.133871078491211,0.7482581000076607
"[23, 23, 19]","['sigmoid', 'sigmoid', 'swish']",f6f6b8,100,Adam,MaxAbsoluteDeviation,1.6150164604187012,0.869903564453125,0.6683653000509366
"[23, 23, 19]","['sigmoid', 'tanh', 'swish']",f6f9b8,100,Adam,MaxAbsoluteDeviation,1.1262801885604858,1.2239723205566406,0.6652658999664709
"[23, 23, 19]","['sigmoid', 'tanh', 'swish']",f6f9b8,100,Adam,MaxAbsoluteDeviation,1.2067538499832153,1.7562370300292969,0.6592400000663474
