"[23, 23, 20, 13]","['elu', 'tanh', 'elu', 'tanh']",f0f9c059,700,Adam,MaxAbsoluteDeviation,0.7572932243347168,0.5176726579666138,7.560599699965678
"[23, 23, 20, 13]","['elu', 'tanh', 'elu', 'tanh']",f0f9c059,700,Adam,MaxAbsoluteDeviation,0.5564839839935303,0.25728991627693176,7.566213799989782
"[23, 23, 20, 13]","['elu', 'tanh', 'elu', 'tanh']",f0f9c059,700,Adam,MaxAbsoluteDeviation,0.6883592009544373,0.4445438086986542,7.576240099966526
"[23, 23, 20, 13]","['swish', 'tanh', 'elu', 'tanh']",f8f9c059,700,Adam,MaxAbsoluteDeviation,0.30441248416900635,0.19465364515781403,7.7051665999460965
"[23, 23, 20, 13]","['sigmoid', 'tanh', 'elu', 'tanh']",f6f9c059,700,Adam,MaxAbsoluteDeviation,0.4926873445510864,0.1984155774116516,7.444430300034583
"[23, 8, 20, 13]","['sigmoid', 'tanh', 'elu', 'tanh']",f609c059,700,Adam,MaxAbsoluteDeviation,0.2469073235988617,0.2912277281284332,7.4561503999866545
"[23, 8, 20, 13]","['sigmoid', 'tanh', 'elu', 'tanh']",f609c059,700,Adam,MaxAbsoluteDeviation,0.5965597033500671,0.17512042820453644,7.4505666999612
"[23, 8, 20, 13]","['sigmoid', 'tanh', 'elu', 'tanh']",f609c059,700,Adam,MaxAbsoluteDeviation,0.4774523079395294,0.2523607313632965,7.465658099972643
"[23, 8, 20]","['sigmoid', 'tanh', 'elu']",f609c0,700,Adam,MaxAbsoluteDeviation,0.19683632254600525,0.1464017629623413,7.00077559996862
"[23, 8]","['sigmoid', 'tanh']",f609,700,Adam,MaxAbsoluteDeviation,0.14027443528175354,0.18665079772472382,6.2643562000012025
"[23, 8]","['sigmoid', 'tanh']",f609,700,Adam,MaxAbsoluteDeviation,0.1966364085674286,0.15316365659236908,6.300191199989058
"[23, 8]","['sigmoid', 'tanh']",f609,659,Adam,MaxAbsoluteDeviation,0.14005860686302185,0.11233022809028625,5.715116600040346
"[23, 8]","['sigmoid', 'tanh']",f609,700,Adam,MaxAbsoluteDeviation,0.08950493484735489,0.09272592514753342,6.276159000000916
