"[8, 23, 23, 8, 8, 8, 10, 23, 9]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh', 'sigmoid', 'sigmoid', 'tanh']",09f8f000060926f619,100,Adam,MaxAbsoluteDeviation,0.4906277060508728,7.354837894439697,1.9056817999808118
"[8, 23, 23, 8, 8, 8, 10, 23, 9]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'tanh']",09f8f000090926f619,700,Adam,MaxAbsoluteDeviation,0.6926853656768799,0.4929223656654358,8.660417999955826
"[8, 23, 23, 8, 8, 8, 10, 23, 9]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'tanh']",09f8f000090926f619,488,Adam,MaxAbsoluteDeviation,0.6613953709602356,0.6020460724830627,6.290927099995315
"[8, 23, 23, 8, 8, 8, 10, 23, 9]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'tanh']",09f8f000090926f619,700,Adam,MaxAbsoluteDeviation,0.9428300857543945,0.45284637808799744,8.678814200102352
"[8, 23, 23, 8, 8, 8, 10, 23, 9, 8]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'tanh', 'sigmoid']",09f8f000090926f61906,700,Adam,MaxAbsoluteDeviation,0.9428300857543945,7.3948259353637695,9.393634399981238
"[8, 23, 23, 8, 8, 8, 10, 23, 9]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'tanh']",09f8f000090926f619,700,Adam,MaxAbsoluteDeviation,0.9428300857543945,7.549509048461914,8.571392700076103
"[8, 23, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",09f8f000090926f6,700,Adam,MaxAbsoluteDeviation,0.4696071743965149,0.5242437124252319,7.96161050000228
"[8, 23, 23, 8, 8, 8, 10, 23]","['swish', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",08f8f000090926f6,700,Adam,MaxAbsoluteDeviation,0.5557679533958435,0.48409703373908997,7.919158900040202
"[8, 23, 23, 8, 8, 8, 10, 23]","['swish', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",08f8f000090926f6,648,Adam,MaxAbsoluteDeviation,0.6838608980178833,0.31709644198417664,7.502574499929324
"[8, 23, 23, 8, 8, 8, 10, 23]","['swish', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",08f8f000090926f6,100,Adam,MaxAbsoluteDeviation,0.6838608980178833,1.0468922853469849,1.785723999957554
"[8, 23, 23, 8, 8, 8, 10, 23, 11]","['swish', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'swish']",08f8f000090926f638,648,Adam,MaxAbsoluteDeviation,0.37391000986099243,0.3953342139720917,8.17707870004233
"[8, 23, 23, 8, 8, 8, 10, 23, 11]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'swish']",09f8f000090926f638,648,Adam,MaxAbsoluteDeviation,0.6501104831695557,0.7228485941886902,8.01627349993214
"[8, 23, 23, 8, 8, 8, 10, 23, 11, 14]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'swish', 'sigmoid']",09f8f000090926f63866,648,Adam,MaxAbsoluteDeviation,0.6501104831695557,7.374943256378174,8.870101899956353
"[8, 23, 23, 8, 8, 8, 10, 23, 11]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'swish']",09f8f000090926f638,700,Adam,MaxAbsoluteDeviation,0.8123195767402649,0.9083702564239502,8.550019100075588
"[8, 23, 23, 8, 8, 8, 10, 23, 11]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'swish']",09f8f000090926f638,700,Adam,MaxAbsoluteDeviation,0.8123195767402649,7.430946350097656,8.682625100016594
"[8, 23, 23, 8, 8, 8, 10, 8, 11]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'swish']",09f8f0000909260638,700,Adam,MaxAbsoluteDeviation,0.8123195767402649,7.4029035568237305,8.580017899977975
"[8, 23, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",09f8f000090926f6,700,Adam,MaxAbsoluteDeviation,0.8123195767402649,7.357846736907959,7.8177427999908105
"[8, 8, 23, 8, 8, 8, 10, 23, 11]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'swish']",0908f000090926f638,700,Adam,MaxAbsoluteDeviation,1.1760990619659424,0.42494556307792664,8.59043510002084
"[8, 8, 23, 8, 8, 8, 10, 23, 11]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'swish']",0908f000090926f638,266,Adam,MaxAbsoluteDeviation,1.1760990619659424,7.5610432624816895,3.643179600010626
"[8, 8, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0908f000090926f6,700,Adam,MaxAbsoluteDeviation,0.4085339307785034,0.34647542238235474,7.7547980000963435
"[8, 8, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0908f000090926f6,700,Adam,MaxAbsoluteDeviation,0.5944418907165527,0.46352121233940125,7.786409599939361
"[23, 8, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",f908f000090926f6,700,Adam,MaxAbsoluteDeviation,0.5944418907165527,0.40796154737472534,7.802267799968831
"[8, 8, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0908f000090926f6,700,Adam,MaxAbsoluteDeviation,0.6595818400382996,0.3771525025367737,7.804094600025564
"[8, 23, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",09f8f000090926f6,139,Adam,MaxAbsoluteDeviation,0.6595818400382996,7.537116527557373,2.085036200005561
"[8, 8, 23, 23, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0908f0f0090926f6,700,Adam,MaxAbsoluteDeviation,0.6595818400382996,1.7913836240768433,7.842244999948889
"[8, 8, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0908f000090926f6,700,Adam,MaxAbsoluteDeviation,0.5323233008384705,0.38797906041145325,7.661075999960303
"[8, 8, 23, 8, 8, 8, 10, 23]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0609f000090926f6,435,Adam,MaxAbsoluteDeviation,0.6092681884765625,0.4655689597129822,4.994243500055745
"[8, 8, 23, 23, 8, 8, 10, 23]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0609f0f0090926f6,435,Adam,MaxAbsoluteDeviation,0.6092681884765625,7.391633987426758,4.9630081000505015
"[8, 8, 23, 8, 8, 8, 10, 23]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0609f000090926f6,700,Adam,MaxAbsoluteDeviation,0.5030708312988281,0.5703038573265076,7.588604099932127
"[8, 8, 23, 8, 8, 8, 10, 23]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0609f000090926f6,700,Adam,MaxAbsoluteDeviation,0.5030708312988281,7.316970348358154,7.57957780000288
"[8, 8, 23, 8, 8, 8, 10, 23]","['sigmoid', 'tanh', 'tanh', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0609f900090926f6,700,Adam,MaxAbsoluteDeviation,0.5030708312988281,7.4703474044799805,7.567857899935916
"[8, 8, 23, 8, 8, 8, 10, 23]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0609f000090926f6,700,Adam,MaxAbsoluteDeviation,0.5030708312988281,7.473517894744873,7.57984589994885
"[8, 8, 23, 8, 8, 8, 10, 23]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",0609f000090926f6,370,Adam,MaxAbsoluteDeviation,0.6005162596702576,0.5918083786964417,4.228451699949801
"[8, 8, 23, 8, 8, 8, 10]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid']",0609f000090926,370,Adam,MaxAbsoluteDeviation,0.6005162596702576,7.376214027404785,3.9170558999758214
"[8, 8, 23, 8, 8, 8, 10, 23, 10]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'sigmoid']",0609f000090926f626,370,Adam,MaxAbsoluteDeviation,0.6005162596702576,0.9288661479949951,4.561772299930453
"[8, 8, 23, 8, 8, 8, 10]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid']",0609f000090926,247,Adam,MaxAbsoluteDeviation,0.7984455823898315,0.4147281348705292,2.7828761000419036
"[8, 8, 23, 8, 8, 8, 10]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid']",0609f000090926,175,Adam,MaxAbsoluteDeviation,0.5560859441757202,0.43085724115371704,2.142022700048983
"[8, 8, 23, 8, 8, 8]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh']",0609f0000909,175,Adam,MaxAbsoluteDeviation,0.5560859441757202,0.2703631520271301,1.899908300023526
"[8, 8, 23, 8, 8, 8, 10]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid']",0609f000090926,700,Adam,MaxAbsoluteDeviation,0.5560859441757202,7.366368770599365,6.681445800000802
"[8, 8, 23, 8, 8, 8, 10]","['sigmoid', 'tanh', 'elu', 'swish', 'tanh', 'tanh', 'sigmoid']",0609f008090926,175,Adam,MaxAbsoluteDeviation,0.5560859441757202,0.9448440670967102,2.131625499925576
"[8, 8, 23, 8, 8, 8, 10]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid']",0609f000090926,700,Adam,MaxAbsoluteDeviation,0.5168708562850952,0.381803959608078,6.779223600053228
"[8, 8, 23, 8, 8, 8, 23]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid']",0609f0000909f6,700,Adam,MaxAbsoluteDeviation,0.6465432643890381,0.4608590304851532,6.659593699965626
"[8, 8, 23, 8, 8, 8, 23]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'elu']",0609f0000909f0,129,Adam,MaxAbsoluteDeviation,0.6465432643890381,7.217161655426025,1.7395769999129698
"[8, 8, 23, 8, 8, 8]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh']",0609f0000909,700,Adam,MaxAbsoluteDeviation,0.6465432643890381,7.358500003814697,5.94416650000494
"[8, 8, 23, 8, 8, 8, 23]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'sigmoid']",0609f0000909f6,700,Adam,MaxAbsoluteDeviation,0.6465432643890381,7.396512031555176,6.57355940004345
"[8, 8, 23, 8, 8, 8]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh']",0609f0000909,700,Adam,MaxAbsoluteDeviation,0.3392626941204071,0.3857386112213135,5.91518669994548
"[8, 8, 23, 8, 8, 8, 10]","['sigmoid', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'elu']",0609f000090920,700,Adam,MaxAbsoluteDeviation,0.3392626941204071,0.4785210192203522,6.50621289992705
